                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.71988,                0.44322,                 0.8639,                0.87535,                0.83575,                0.89206,                0.66495,                0.92222,                0.54196,                0.94919,              0.0005744,              0.0005744,              0.0005744
                     74,                0.74223,                0.44126,                0.87346,                0.85283,                0.85431,                0.88224,                0.66463,                0.91996,                0.53349,                0.95383,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.7369,                0.44957,                0.87201,                0.85365,                0.84437,                0.87821,                0.66551,                0.91323,                 0.5328,                0.95333,              0.0005348,              0.0005348,              0.0005348
                     76,                0.72363,                0.43614,                0.86997,                0.86317,                0.84597,                0.87898,                0.66076,                0.91524,                 0.5326,                0.95278,               0.000515,               0.000515,               0.000515
                     77,                0.74061,                0.44172,                0.87525,                0.86434,                0.84312,                0.87914,                0.66326,                0.91524,                0.53366,                0.95525,              0.0004952,              0.0004952,              0.0004952
                     78,                0.71709,                0.43953,                0.87018,                0.86524,                0.84103,                 0.8834,                0.66721,                0.90443,                0.52585,                0.94545,              0.0004754,              0.0004754,              0.0004754
                     79,                0.71486,                 0.4421,                0.86987,                0.86189,                0.83136,                0.88101,                0.66829,                0.90579,                0.52628,                0.94426,              0.0004556,              0.0004556,              0.0004556
                     80,                0.72778,                0.44489,                0.87253,                0.83492,                0.85613,                0.88171,                0.65778,                0.91391,                0.53254,                0.94914,              0.0004358,              0.0004358,              0.0004358
                     81,                0.70787,                0.42762,                0.86783,                0.85344,                0.84815,                0.88972,                0.66244,                0.92169,                0.53014,                0.95099,               0.000416,               0.000416,               0.000416
                     82,                0.71908,                0.43751,                0.86742,                0.85984,                0.83357,                0.88742,                0.66573,                0.91133,                0.52205,                0.95086,              0.0003962,              0.0003962,              0.0003962
                     83,                0.71482,                0.42465,                0.86713,                0.81461,                 0.8659,                0.87069,                0.65595,                0.91924,                0.53447,                0.95435,              0.0003764,              0.0003764,              0.0003764
                     84,                0.70862,                0.42764,                0.86746,                0.84096,                0.85879,                0.88024,                0.65634,                0.92627,                0.53635,                0.95452,              0.0003566,              0.0003566,              0.0003566
                     85,                0.72431,                0.43225,                0.86898,                0.85604,                 0.8508,                0.87687,                0.65176,                0.91216,                0.52717,                0.94921,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.7113,                0.43454,                0.87053,                0.85102,                0.84215,                0.87926,                0.65678,                0.91269,                0.53119,                0.95019,               0.000317,               0.000317,               0.000317
                     87,                0.70907,                0.42505,                 0.8639,                0.85304,                0.85258,                0.88484,                0.66289,                 0.9136,                0.53002,                0.95223,              0.0002972,              0.0002972,              0.0002972
                     88,                0.69963,                0.42275,                0.86028,                0.83111,                0.87567,                0.88749,                0.66303,                0.91362,                0.52676,                0.95353,              0.0002774,              0.0002774,              0.0002774
                     89,                0.70396,                0.42249,                0.87072,                0.85766,                0.84547,                0.88451,                0.66035,                0.91776,                0.52365,                 0.9553,              0.0002576,              0.0002576,              0.0002576
                     90,                0.68999,                 0.4161,                0.85993,                0.83983,                0.85968,                0.88119,                0.66107,                0.92258,                0.52499,                 0.9567,              0.0002378,              0.0002378,              0.0002378
                     91,                0.69077,                 0.4072,                0.87061,                0.86373,                0.84636,                0.88336,                0.66167,                0.91642,                0.52323,                0.95057,               0.000218,               0.000218,               0.000218
                     92,                0.68289,                0.40123,                0.86577,                 0.8629,                0.83844,                0.88529,                0.65771,                0.90439,                 0.5233,                0.94857,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.6713,                0.39798,                0.86123,                0.86373,                0.83313,                0.88593,                0.66299,                0.90538,                 0.5196,                 0.9498,              0.0001784,              0.0001784,              0.0001784
                     94,                0.67249,                0.39933,                0.85939,                0.85997,                0.84458,                0.88424,                0.66175,                0.91525,                0.52295,                0.95329,              0.0001586,              0.0001586,              0.0001586
                     95,                0.67589,                0.39539,                0.86002,                0.85881,                0.84991,                0.88012,                0.66097,                0.91681,                0.52175,                0.95342,              0.0001388,              0.0001388,              0.0001388
                     96,                0.68048,                 0.3956,                0.86023,                 0.8335,                0.86057,                0.87423,                 0.6577,                0.90971,                0.52467,                0.94971,               0.000119,               0.000119,               0.000119
                     97,                0.66486,                0.38937,                0.85957,                0.84347,                0.84725,                0.87479,                0.65879,                  0.907,                0.52266,                0.94852,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.67572,                0.39009,                0.86836,                0.85859,                0.84117,                0.88375,                0.66589,                0.90769,                0.52051,                0.94895,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.66763,                0.38565,                0.85914,                0.86467,                0.83748,                0.88462,                 0.6645,                0.91016,                0.52047,                0.95006,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.66436,                0.38819,                0.85829,                0.87104,                0.83837,                0.88412,                0.66263,                0.91061,                0.52049,                0.94971,               3.98e-05,               3.98e-05,               3.98e-05
